date,fee,price,share,market_symbol,type,id
2023-06-01,0,435.78,0.0114734,NYSE#NOC,Buy,c99e22ad-c07a-44d1-a0cf-0271aa1e5c75
2023-06-01,0,133.04,0.0378810,NYSE#ABBV,Buy,59272d5a-4a92-4dcd-962b-6c5fe9583542
2023-06-01,0,123.3,0.0405488,NASDAQ#GOOGL,Buy,bfe044e3-515c-4f46-82ce-bd52c4fa5d20
2023-06-02,0,436.1,0.0229305,NYSE#LLY,Buy,a4cc9b4e-b6ed-45e1-b53e-44968f004bea
2023-06-02,0,224.91,0.0357463,NYSE#V,Buy,a5f1737d-1f2d-42fb-9498-2fee88277d52
2023-06-02,0,353.93,0.0282540,NYSE#DE,Buy,234233d9-92ba-42a8-a3c1-ee005d46894e
2023-06-02,0,99.4,0.0603573,NYSE#TSM,Buy,dec0b783-33dd-40b3-af58-c8c52d299f20
2023-06-02,0,233.22,0.0428768,NYSE#DHR,Buy,f066b483-a4ec-4997-bc49-4e67a3d3c687
2023-06-02,0,273.16,0.0366085,NYSE#APD,Buy,71355725-b51f-49e4-807e-c5ac4efc657a
2023-06-02,0,68.37,0.0731272,NASDAQ#FTNT,Buy,ca51e393-8d18-48c0-a2a5-96d2173659d9
2023-06-02,0,510.54,0.0097935,NASDAQ#COST,Buy,1509b901-ff68-4bff-922e-b472c9230113
2023-06-02,0,498.25,0.0100349,NYSE#UNH,Buy,566f630f-a6e1-4ee6-b5d9-bc338179fedf
2023-06-02,0,138.09,0.0362066,NYSE#JPM,Buy,1475201d-c068-4766-8558-7a52e174c182
2023-06-02,0,179.96,0.0277827,NASDAQ#AAPL,Buy,85424b74-b23c-411b-a110-e4c9975349a5
2023-06-02,0,123.09,0.0406180,NASDAQ#AMZN,Buy,0757a3fa-2ddd-42ea-9c86-8e19ed323519
2023-06-02,0,0.04,0.0000000,NYSE#V,Dividend,d0eab036-8fbe-49e9-abf1-eec830093a39
2023-06-02,0,292.46,0.0170961,NASDAQ#SEDG,Buy,ae262a6f-e645-41fb-978f-dbececd90d7b
2023-06-02,0,182.79,0.0281187,NASDAQ#ENPH,Buy,035cfa30-6fd4-49a5-af90-b61589e3f964
2023-06-02,0,234.47,0.0213246,NYSE#DHR,Buy,417a9f71-fd49-44bd-b7bb-72965b9fc134
2023-06-02,0,155.8,0.0320911,NYSE#CVX,Buy,022676d1-69bf-4c5f-a49a-69e182ed27cf
2023-06-02,0,105.27,0.0474942,NYSE#XOM,Buy,ee6c6eae-3779-4abf-9e86-1d969dc6b3ba
2023-06-02,0,445.27,0.0207963,NYSE#NOC,Buy,934548d0-df90-4802-aa7b-2de9de97699d
2023-06-02,0,513.12,0.0155907,NASDAQ#COST,Buy,d8d7cbb1-82eb-4fd9-a2c8-0ce5545beea2
2023-06-02,0,217.32,0.0173015,NYSE#BLD,Buy,1a813408-b5ff-4320-bc7c-3b11ea603fc3
2023-06-03,0,320.95,0.0311575,NASDAQ#ODFL,Buy,87963dbd-76d6-4c84-b94c-be6a1f844a02
2023-06-06,0,316.9,0.0315556,NASDAQ#ODFL,Buy,5b89a047-341b-4a0e-a13a-0cd67a324bd1
